Card,Quantity,Pilot,Archetype,Event,Date Posted,Main/Sideboard,Mana Value,Mana Cost,Colours,Most Recent Printing,Card Text,Type Line,Price EUR,Price USD,Rarity
Fable of the Mirror-Breaker,4,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Mainboard,3.0,{2}{R},['R'],2022-02-18,,Enchantment — Saga // Enchantment Creature — Goblin Shaman,27.45,22.15,rare
"Takenuma, Abandoned Mire",1,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {B}.
Channel — {3}{B}, Discard Takenuma, Abandoned Mire: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,6.71,4.53,rare
Graveyard Trespasser,2,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Mainboard,3.0,{2}{B},['B'],2021-09-24,,Creature — Human Werewolf // Creature — Werewolf,1.79,0.74,rare
Pithing Needle,1,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,1.0,{1},[],2022-07-08,"As Pithing Needle enters the battlefield, choose a card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",Artifact,1.09,0.87,rare
Duress,2,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,1.0,{B},['B'],2023-02-03,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",Sorcery,0.13,0.03,common
Unlicensed Hearse,2,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2022-04-29,"{T}: Exile up to two target cards from a single graveyard.
Unlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.
Crew 2",Artifact — Vehicle,12.23,5.31,rare
Reckoner Bankbuster,2,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2022-02-18,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3",Artifact — Vehicle,4.54,3.08,rare
Noxious Grasp,2,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,2.0,{1}{B},['B'],2019-07-12,Destroy target creature or planeswalker that's green or white. You gain 1 life.,Instant,0.11,0.17,uncommon
Extinction Event,3,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,4.0,{3}{B},['B'],2020-04-24,Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.),Sorcery,1.43,1.27,rare
Abrade,1,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,2.0,{1}{R},['R'],2021-11-19,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",Instant,0.12,0.12,common
Kolaghan's Command,1,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,3.0,{1}{B}{R},"['B', 'R']",2022-07-08,"Choose two —
• Return target creature card from your graveyard to your hand.
• Target player discards a card.
• Destroy target artifact.
• Kolaghan's Command deals 2 damage to any target.",Instant,3.37,1.6,rare
Hidetsugu Consumes All,1,Pilot 7,Rakdos Midrange,MTG China Open,2023-06-06,Sideboard,3.0,{1}{B}{R},"['B', 'R']",2022-02-18,,Enchantment — Saga // Enchantment Creature — Ogre Shaman,4.29,2.29,mythic
"Otawara, Soaring City",1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,17.98,12.58,rare
Island,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
Clearwater Pathway,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,4.31,rare
Cling to Dust,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,1.0,{B},['B'],2020-01-24,"Exile target card from a graveyard. If it was a creature card, you gain 3 life. Otherwise, you draw a card.
Escape—{3}{B}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Instant,0.3,0.16,uncommon
Brazen Borrower,2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,3.0,{1}{U}{U},['U'],2019-10-04,,Creature — Faerie Rogue // Instant — Adventure,13.92,11.72,mythic
Go for the Throat,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,2.0,{1}{B},['B'],2023-04-21,Destroy target nonartifact creature.,Instant,0.23,0.26,uncommon
Nighthawk Scavenger,2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,3.0,{1}{B}{B},['B'],2022-06-10,"Flying, deathtouch, lifelink
Nighthawk Scavenger's power is equal to 1 plus the number of card types among cards in your opponents' graveyards. (Cards in graveyards have only the characteristics of their front face.)",Creature — Vampire Rogue,1.22,0.23,rare
Darkslick Shores,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-02-03,"Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {B}.",Land,3.34,2.18,rare
Fatal Push,3,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,1.0,{B},['B'],2020-08-07,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",Instant,1.4,2.0,uncommon
Faerie Mastermind,3,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,2.0,{1}{U},['U'],2023-04-21,"Flash
Flying
Whenever an opponent draws their second card each turn, you draw a card.
{3}{U}: Each player draws a card.",Creature — Faerie Rogue,9.04,5.45,rare
Sheoldred's Edict,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,2.0,{1}{B},['B'],2023-02-03,"Choose one —
• Each opponent sacrifices a nontoken creature.
• Each opponent sacrifices a creature token.
• Each opponent sacrifices a planeswalker.",Instant,1.14,1.76,uncommon
Hive of the Eye Tyrant,2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Hive of the Eye Tyrant enters the battlefield tapped.
{T}: Add {B}.
{3}{B}: Until end of turn, Hive of the Eye Tyrant becomes a 3/3 black Beholder creature with menace and ""Whenever this creature attacks, exile target card from defending player's graveyard."" It's still a land.",Land,7.25,3.88,rare
Agadeem's Awakening,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,3.0,{X}{B}{B}{B},['L'],2020-09-25,,Sorcery // Land,18.25,13.38,mythic
Drown in the Loch,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,2.0,{U}{B},"['B', 'U']",2022-06-10,"Choose one —
• Counter target spell with mana value less than or equal to the number of cards in its controller's graveyard.
• Destroy target creature with mana value less than or equal to the number of cards in its controller's graveyard.",Instant,0.95,0.48,uncommon
Castle Locthwain,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-06-10,"Castle Locthwain enters the battlefield tapped unless you control a Swamp.
{T}: Add {B}.
{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.",Land,3.76,1.97,rare
See Double,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,4.0,{2}{U}{U},['U'],2023-04-21,"This spell can't be copied.
Choose one. If an opponent has eight or more cards in their graveyard, you may choose both.
• Copy target spell. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)
• Create a token that's a copy of target creature.",Instant,1.27,1.17,rare
Thieves' Guild Enforcer,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,1.0,{B},['B'],2020-07-03,"Flash
Whenever Thieves' Guild Enforcer or another Rogue enters the battlefield under your control, each opponent mills two cards.
As long as an opponent has eight or more cards in their graveyard, Thieves' Guild Enforcer gets +2/+1 and has deathtouch.",Creature — Human Rogue,0.5,0.21,rare
Kaito Shizuki,3,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,3.0,{1}{U}{B},"['B', 'U']",2022-02-18,"At the beginning of your end step, if Kaito Shizuki entered the battlefield this turn, he phases out.
+1: Draw a card. Then discard a card unless you attacked this turn.
−2: Create a 1/1 blue Ninja creature token with ""This creature can't be blocked.""
−7: You get an emblem with ""Whenever a creature you control deals combat damage to a player, search your library for a blue or black creature card, put it onto the battlefield, then shuffle.""",Legendary Planeswalker — Kaito,4.49,2.74,mythic
Spell Pierce,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,1.0,{U},['U'],2022-07-08,Counter target noncreature spell unless its controller pays {2}.,Instant,0.09,0.21,common
"Sheoldred, the Apocalypse",2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,4.0,{2}{B}{B},['B'],2022-09-09,"Deathtouch
Whenever you draw a card, you gain 2 life.
Whenever an opponent draws a card, they lose 2 life.",Legendary Creature — Phyrexian Praetor,62.58,63.17,mythic
"Takenuma, Abandoned Mire",1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {B}.
Channel — {3}{B}, Discard Takenuma, Abandoned Mire: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,6.71,4.53,rare
Underground River,2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-11-18,"{T}: Add {C}.
{T}: Add {U} or {B}. Underground River deals 1 damage to you.",Land,3.48,3.87,rare
"Urborg, Tomb of Yawgmoth",1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-03-19,Each land is a Swamp in addition to its other land types.,Legendary Land,24.74,28.49,rare
Thoughtseize,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,1.0,{B},['B'],2020-08-07,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,19.95,16.4,rare
Soaring Thought-Thief,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,2.0,{U}{B},"['B', 'U']",2020-09-25,"Flash
Flying
As long as an opponent has eight or more cards in their graveyard, Rogues you control get +1/+0.
Whenever one or more Rogues you control attack, each opponent mills two cards.",Creature — Human Rogue,0.1,0.13,uncommon
Swamp,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2016-09-02,"({T}: Add {B}.)
Leechridden Swamp enters the battlefield tapped.
{B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents.",Land — Swamp,0.39,0.95,uncommon
Into the Story,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,7.0,{5}{U}{U},['U'],2019-10-04,"This spell costs {3} less to cast if an opponent has seven or more cards in their graveyard.
Draw four cards.",Instant,0.23,0.26,uncommon
Watery Grave,4,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2018-10-05,"({T}: Add {U} or {B}.)
As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Island Swamp,13.64,12.14,rare
Change the Equation,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,2.0,{1}{U},['U'],2023-04-21,"Choose one —
• Counter target spell with mana value 2 or less.
• Counter target red or green spell with mana value 6 or less.",Instant,0.33,0.27,uncommon
Cling to Dust,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,1.0,{B},['B'],2020-01-24,"Exile target card from a graveyard. If it was a creature card, you gain 3 life. Otherwise, you draw a card.
Escape—{3}{B}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Instant,0.3,0.16,uncommon
Mystical Dispute,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,3.0,{2}{U},['U'],2019-10-04,"This spell costs {2} less to cast if it targets a blue spell.
Counter target spell unless its controller pays {3}.",Instant,0.28,0.25,uncommon
Disdainful Stroke,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,2.0,{1}{U},['U'],2022-04-29,Counter target spell with mana value 4 or greater.,Instant,0.06,0.07,common
Nighthawk Scavenger,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,3.0,{1}{B}{B},['B'],2022-06-10,"Flying, deathtouch, lifelink
Nighthawk Scavenger's power is equal to 1 plus the number of card types among cards in your opponents' graveyards. (Cards in graveyards have only the characteristics of their front face.)",Creature — Vampire Rogue,1.22,0.23,rare
Languish,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,4.0,{2}{B}{B},['B'],2020-07-17,All creatures get -4/-4 until end of turn.,Sorcery,0.24,0.38,rare
Extinction Event,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,4.0,{3}{B},['B'],2020-04-24,Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.),Sorcery,1.43,1.27,rare
Negate,1,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,2.0,{1}{U},['U'],2023-04-21,Counter target noncreature spell.,Instant,0.09,0.14,common
Ray of Enfeeblement,3,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,1.0,{B},['B'],2021-07-23,"Target creature gets -4/-1 until end of turn. If that creature is white, it gets -4/-4 until end of turn instead.",Instant,0.02,0.22,uncommon
Reckoner Bankbuster,2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2022-02-18,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3",Artifact — Vehicle,4.54,3.08,rare
Hostage Taker,2,Pilot 8,Dimir Rogues,MTG China Open,2023-06-06,Sideboard,4.0,{2}{U}{B},"['B', 'U']",2022-07-08,"When Hostage Taker enters the battlefield, exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell.",Creature — Human Pirate,0.25,2.01,rare
Jwari Disruption,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['L'],2020-09-25,,Instant // Land,0.32,0.31,uncommon
Make Disappear,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2022-04-29,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Counter target spell unless its controller pays {2}.",Instant,0.4,0.56,common
Irrigated Farmland,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2020-04-17,"({T}: Add {W} or {U}.)
Irrigated Farmland enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",Land — Plains Island,0.76,0.96,rare
Shark Typhoon,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,6.0,{5}{U},['U'],2020-04-24,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",Enchantment,12.91,11.64,rare
Dovin's Veto,3,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{W}{U},"['U', 'W']",2019-05-03,"This spell can't be countered.
Counter target noncreature spell.",Instant,2.0,3.72,uncommon
Castle Vantress,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-06-10,"Castle Vantress enters the battlefield tapped unless you control an Island.
{T}: Add {U}.
{2}{U}{U}, {T}: Scry 2.",Land,0.93,0.38,rare
Glacial Fortress,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2017-09-29,"Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.
{T}: Add {W} or {U}.",Land,2.61,3.16,rare
Hallowed Fountain,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Plains Island,11.93,11.31,rare
Temporary Lockdown,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{W}{W},['W'],2022-09-09,"When Temporary Lockdown enters the battlefield, exile each nonland permanent with mana value 2 or less until Temporary Lockdown leaves the battlefield.",Enchantment,1.16,1.78,rare
March of Otherworldly Light,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{X}{W},['W'],2022-02-18,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile target artifact, creature, or enchantment with mana value X or less.",Instant,2.96,1.96,rare
Absorb,2,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{W}{U}{U},"['U', 'W']",2019-01-25,Counter target spell. You gain 3 life.,Instant,0.82,0.35,rare
Sunfall,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{3}{W}{W},['W'],2023-04-21,"Exile all creatures. Incubate X, where X is the number of creatures exiled this way. (Create an Incubator token with X +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Sorcery,1.66,1.62,rare
"Eiganjo, Seat of the Empire",1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {W}.
Channel — {2}{W}, Discard Eiganjo, Seat of the Empire: It deals 4 damage to target attacking or blocking creature. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,7.95,5.32,rare
Hall of Storm Giants,2,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Hall of Storm Giants enters the battlefield tapped.
{T}: Add {U}.
{5}{U}: Until end of turn, Hall of Storm Giants becomes a 7/7 blue Giant creature with ward {3}. It's still a land. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)",Land,3.97,1.87,rare
Supreme Verdict,2,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{1}{W}{W}{U},"['U', 'W']",2022-07-08,"This spell can't be countered.
Destroy all creatures.",Sorcery,4.97,3.69,rare
Plains,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{W},['W'],2016-04-08,You gain 5 life.,Sorcery,0.1,0.09,common
Field of Ruin,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-04-21,"{T}: Add {C}.
{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.",Land,0.05,0.15,uncommon
The Wandering Emperor,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{W}{W},['W'],2022-02-18,"Flash
As long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.
+1: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.
−1: Create a 2/2 white Samurai creature token with vigilance.
−2: Exile target tapped creature. You gain 2 life.",Legendary Planeswalker,25.04,18.43,mythic
Hengegate Pathway,2,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,4.63,rare
"Otawara, Soaring City",1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,17.98,12.58,rare
Castle Ardenvale,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-04-29,"Castle Ardenvale enters the battlefield tapped unless you control a Plains.
{T}: Add {W}.
{2}{W}{W}, {T}: Create a 1/1 white Human creature token.",Land,0.98,0.59,rare
Island,2,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
"Teferi, Hero of Dominaria",4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{3}{W}{U},"['U', 'W']",2018-04-27,"+1: Draw a card. At the beginning of the next end step, untap up to two lands.
−3: Put target nonland permanent into its owner's library third from the top.
−8: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls.""",Legendary Planeswalker — Teferi,26.99,25.92,mythic
Memory Deluge,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{U}{U},['U'],2021-09-24,"Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,1.01,0.62,rare
Omen of the Sea,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2020-01-24,"Flash
When Omen of the Sea enters the battlefield, scry 2, then draw a card.
{2}{U}, Sacrifice Omen of the Sea: Scry 2.",Enchantment,0.05,0.08,common
Rewind,2,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{U}{U},['U'],2020-07-03,Counter target spell. Untap up to four lands.,Instant,0.23,0.26,uncommon
Deserted Beach,4,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-09-24,"Deserted Beach enters the battlefield tapped unless you control two or more other lands.
{T}: Add {W} or {U}.",Land,8.95,6.22,rare
Farewell,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,6.0,{4}{W}{W},['W'],2022-02-18,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",Sorcery,8.56,9.48,rare
Rest in Peace,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{W},['W'],2018-03-16,"When Rest in Peace enters the battlefield, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",Enchantment,6.5,7.85,rare
"Elspeth, Sun's Champion",1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,6.0,{4}{W}{W},['W'],2023-04-21,"+1: Create three 1/1 white Soldier creature tokens.
−3: Destroy all creatures with power 4 or greater.
−7: You get an emblem with ""Creatures you control get +2/+2 and have flying.""",Legendary Planeswalker — Elspeth,3.51,3.6,mythic
Chrome Host Seedshark,3,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{U},['U'],2023-04-21,"Flying
Whenever you cast a noncreature spell, incubate X, where X is that spell's mana value. (Create an Incubator token with X +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Creature — Phyrexian Shark,1.5,1.94,rare
Dovin's Veto,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{W}{U},"['U', 'W']",2019-05-03,"This spell can't be countered.
Counter target noncreature spell.",Instant,2.0,3.72,uncommon
Fateful Absence,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{W},['W'],2021-09-24,"Destroy target creature or planeswalker. Its controller investigates. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",Instant,0.89,0.84,rare
Mystical Dispute,3,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{U},['U'],2019-10-04,"This spell costs {2} less to cast if it targets a blue spell.
Counter target spell unless its controller pays {3}.",Instant,0.28,0.25,uncommon
Summary Dismissal,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,4.0,{2}{U}{U},['U'],2016-07-22,Exile all other spells and counter all abilities.,Instant,0.69,0.4,rare
Aether Gust,1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{U},['U'],2019-07-12,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,Instant,0.33,0.37,uncommon
"Narset, Parter of Veils",1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{U}{U},['U'],2019-05-03,"Each opponent can't draw more than one card each turn.
−2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Legendary Planeswalker — Narset,0.77,1.87,uncommon
"Yorion, Sky Nomad",1,Pilot 1,Azorius Control,Dreamhack Magic Showdown,2023-06-07,Sideboard,5.0,{3}{W/U}{W/U},"['U', 'W']",2020-04-24,"Companion — Your starting deck contains at least twenty cards more than the minimum deck size. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Flying
When Yorion enters the battlefield, exile any number of other nonland permanents you own and control. Return those cards to the battlefield at the beginning of the next end step.",Legendary Creature — Bird Serpent,1.43,0.48,rare
"Boseiju, Who Endures",2,Pilot 2,Mono-Green Devotion,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,36.47,28.17,rare
Lair of the Hydra,2,Pilot 2,Mono-Green Devotion,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Lair of the Hydra enters the battlefield tapped.
{T}: Add {G}.
{X}{G}: Until end of turn, Lair of the Hydra becomes an X/X green Hydra creature. It's still a land. X can't be 0.",Land,2.95,1.52,rare
Elvish Mystic,4,Pilot 2,Mono-Green Devotion,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{G},['G'],2021-02-05,{T}: Add {G}.,Creature — Elf Druid,1.39,1.44,common
 Forest,1,Pilot 2,Mono-Green Devotion,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{3}{G}{G},['G'],2019-06-14,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Deep Forest Hermit enters the battlefield, create four 1/1 green Squirrel creature tokens.
Squirrels you control get +1/+1.",Creature — Elf Druid,0.2,2.13,rare
